"Protein","Placenta_19_R1_Core","Placenta_19_R1_STB","Placenta_19_R2_Core","Placenta_19_R2_STB","Placenta_19_R3_STB","Placenta_19_R5_Core","Placenta_19_R5_STB","Placenta_23_R1_Core","Placenta_23_R1_STB","Placenta_23_R2_Core","Placenta_23_R2_STB","Placenta_23_R3_Core","Placenta_23_R3_STB","Placenta_23_R4_Core","Placenta_23_R4_STB","Placenta_23_R5_Core","Placenta_23_R5_STB","Placenta_26_R1_Core","Placenta_26_R1_STB","Placenta_26_R2_Core","Placenta_26_R2_STB","Placenta_26_R3_Core","Placenta_26_R3_STB","Placenta_26_R4_STB","Placenta_26_R5_Core","Placenta_26_R5_STB"
"Protein11",4.85794645897855,3.76711076982552,-2.90179002272303,4.12750307227746,4.12094726748869,3.30124413658212,4.36749917939655,NA,4.45660778684981,2.65089043456923,4.54632051623102,-0.219282605063039,4.39473078043169,4.3834317124794,4.22137382675194,3.76993335950167,4.35396302156395,1.32590366064481,2.9351131973745,3.41251243763326,3.86773087938158,2.00878177175718,3.96951614827663,4.25789464597816,5.52748043738634,3.78341195547043
"Protein12",-1.55247938167649,0.770304754279969,-1.497190624664,-0.0523304656197787,0.068269618853579,-2.87286613999377,0.803484656265216,-1.81368324833336,0.227897285247726,-2.39507936178421,0.155796401020531,-1.32663363610592,0.211672388390888,-1.80490901578973,0.144656750117836,-2.02109872846143,0.514520693667528,-1.56097509244947,0.155589736922359,-1.52458353235624,0.302613728309374,-1.59651449832338,0.561421311296177,0.328132141991805,-1.76562292955997,0.250089964159521
"Protein13",7.20259209858887,2.41510845628804,0.368104966660271,5.24996365956223,5.68392095390363,9.75800381719929,2.12381266261073,0.181403894452469,4.19782479259146,3.6083359771128,-0.641673486553621,0.367605769719813,4.04207255650635,3.43904343526957,5.91301170848993,8.1581031359005,3.50218466489438,1.53968624944189,4.77317124865988,5.83871301414946,2.10714318798693,2.6047968920274,4.81386735736922,4.56536057793481,3.08333600393564,0.692635263731436
"Protein14",0.883488375937969,0.47741183255544,0.587262087792032,0.607507734283972,0.846669755140024,0.865152888361473,1.07102913694978,-0.0822240990807046,0.273239080487162,0.475025733197773,0.435199661652521,0.493572817589151,0.430278698074469,0.133245642998032,0.462124938407362,0.372367415287378,0.990412976355778,1.03792845068397,1.00484972054272,1.14984699134821,1.03530702255665,1.37256683318656,1.22869726240224,0.222830229269789,1.02865129506593,0.453137379673382
"Protein15",1.73483795009482,4.16823362662683,1.95236467891866,4.05271457147727,3.64720654003926,2.10958372714411,4.26948812728859,2.52695510765187,4.01586738017171,2.95509371497649,4.12337694423658,2.3170648438723,4.29918675857365,2.24954696578236,3.49261460736198,0.299408283260419,4.18139698092073,4.0376731019844,4.82152792015661,3.4597291817013,3.72109546074485,1.30486462900472,3.9093395035902,4.56176749212096,1.7231661981468,4.39112232359634
"Protein16",3.66776661471859,3.21417859328836,3.32162528716712,3.15511882828616,3.17044770546657,2.5880843509929,2.36053482735275,2.79983315757422,1.90982028493556,3.21019881458151,2.74423801795888,3.64347811240694,3.39195157953016,2.62902895689266,-0.150194342720316,2.40578344815281,1.50433704509304,2.64748150666036,1.78769893857804,2.01599206176487,2.65859235535877,2.90650724532912,2.32342558595224,2.23921460567015,2.31541291038141,3.32809137185651
"Protein17",12.4880455252861,11.8682421295737,12.0450307757357,12.2593843360917,11.7949739376443,11.4366806337798,11.2651114009478,12.0294450149589,12.0343762877706,11.7634515827409,11.6043858818929,12.3743158900107,12.2645357660421,11.6311937325479,11.2008330483111,11.234067163811,7.30068054879935,11.3444028419409,10.5185367161818,10.7640713557777,11.081870108199,11.4618655564613,11.5870621220812,11.7113349607843,10.8314077034506,11.7958736092224
"Protein18",3.81795358368534,3.41417270994228,3.38358271968814,3.46399930693138,3.19877666254051,2.76784805797004,2.43486129254333,2.66387584153683,-0.197500663689821,2.92144112632618,2.74423801795888,3.58702030037231,4.05484934485695,2.62902895689266,0.824576530165303,2.36279017536368,-2.18263545513849,-0.234152386876454,1.78769893857804,2.10061545305322,2.03901450340644,2.95228608562846,2.30279638642771,3.0738610864517,0.674127181902668,3.22636875667542
"Protein19",3.4979659283272,3.41800809282641,3.32162528716712,3.33699802568239,3.17044770546657,2.76784805797004,2.36053482735275,2.92859417744588,1.09897298741214,3.06581997045385,2.91614142332693,3.58702030037231,3.73863306106792,3.1997227911847,-0.967529728411883,2.40578344815281,-1.43015722880443,1.50124644305709,1.80263034056068,2.10061545305322,2.65859235535877,2.93735468364582,2.32342558595224,3.0738610864517,1.47691967669043,3.32809137185651
"Protein20",0.0778826041445662,1.04055358289192,-0.0820857623214692,0.97114284336798,0.823797513242122,-1.00940621503243,1.34179902362282,-0.227909610442019,0.822834234784299,-0.634909143648628,1.20805419770073,-1.13742472726601,-0.138448252380964,-0.0677908130658444,0.862028318348449,-2.51214803582461,0.340279331340696,-0.113356429970683,0.898498762484602,-0.184056402335823,0.16228472279132,-0.302866131968111,0.300524986203236,0.808306994336105,-0.403273265289155,0.713501723995062
